date,route_id,origin,destination,cargo_type,vessel_type,freight_rate_usd_mt,distance_nm,data_source,is_synthetic
2020-02-01,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.1,4800,DEMO_DATA,True
2020-02-02,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.25,4800,DEMO_DATA,True
2020-02-03,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.29,4800,DEMO_DATA,True
2020-02-04,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.41,4800,DEMO_DATA,True
2020-02-05,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.62,4800,DEMO_DATA,True
2020-02-06,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.46,4800,DEMO_DATA,True
2020-02-07,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.05,4800,DEMO_DATA,True
2020-02-08,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.15,4800,DEMO_DATA,True
2020-02-09,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.2,4800,DEMO_DATA,True
2020-02-10,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.45,4800,DEMO_DATA,True
2020-02-11,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.73,4800,DEMO_DATA,True
2020-02-12,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.3,4800,DEMO_DATA,True
2020-02-13,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.53,4800,DEMO_DATA,True
2020-02-14,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.25,4800,DEMO_DATA,True
2020-02-15,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.07,4800,DEMO_DATA,True
2020-02-16,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.08,4800,DEMO_DATA,True
2020-02-17,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.25,4800,DEMO_DATA,True
2020-02-18,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.22,4800,DEMO_DATA,True
2020-02-19,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.38,4800,DEMO_DATA,True
2020-02-20,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.31,4800,DEMO_DATA,True
2020-02-21,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.5,4800,DEMO_DATA,True
2020-02-22,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.23,4800,DEMO_DATA,True
2020-02-23,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.25,4800,DEMO_DATA,True
2020-02-24,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.2,4800,DEMO_DATA,True
2020-02-25,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.2,4800,DEMO_DATA,True
2020-02-26,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.34,4800,DEMO_DATA,True
2020-02-27,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.1,4800,DEMO_DATA,True
2020-02-28,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.1,4800,DEMO_DATA,True
2020-02-29,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.7,4800,DEMO_DATA,True
2020-03-01,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.19,4800,DEMO_DATA,True
2020-03-02,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.47,4800,DEMO_DATA,True
2020-03-03,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.52,4800,DEMO_DATA,True
2020-03-04,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.58,4800,DEMO_DATA,True
2020-03-05,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.19,4800,DEMO_DATA,True
2020-03-06,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.12,4800,DEMO_DATA,True
2020-03-07,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.09,4800,DEMO_DATA,True
2020-03-08,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.19,4800,DEMO_DATA,True
2020-03-09,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.31,4800,DEMO_DATA,True
2020-03-10,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.44,4800,DEMO_DATA,True
2020-03-11,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.41,4800,DEMO_DATA,True
2020-03-12,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.34,4800,DEMO_DATA,True
2020-03-13,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.34,4800,DEMO_DATA,True
2020-03-14,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.23,4800,DEMO_DATA,True
2020-03-15,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.32,4800,DEMO_DATA,True
2020-03-16,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.64,4800,DEMO_DATA,True
2020-03-17,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,7.84,4800,DEMO_DATA,True
2020-03-18,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.16,4800,DEMO_DATA,True
2020-03-19,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.07,4800,DEMO_DATA,True
2020-03-20,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.19,4800,DEMO_DATA,True
2020-03-21,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.13,4800,DEMO_DATA,True
2020-03-22,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.05,4800,DEMO_DATA,True
2020-03-23,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.01,4800,DEMO_DATA,True
2020-03-24,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.11,4800,DEMO_DATA,True
2020-03-25,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.37,4800,DEMO_DATA,True
2020-03-26,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.28,4800,DEMO_DATA,True
2020-03-27,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.36,4800,DEMO_DATA,True
2020-03-28,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.28,4800,DEMO_DATA,True
2020-03-29,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.3,4800,DEMO_DATA,True
2020-03-30,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.55,4800,DEMO_DATA,True
2020-03-31,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.61,4800,DEMO_DATA,True
2020-04-01,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.23,4800,DEMO_DATA,True
2020-04-02,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.18,4800,DEMO_DATA,True
2020-04-03,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.36,4800,DEMO_DATA,True
2020-04-04,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.18,4800,DEMO_DATA,True
2020-04-05,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.27,4800,DEMO_DATA,True
2020-04-06,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,8.47,4800,DEMO_DATA,True
2020-04-07,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,9.69,4800,DEMO_DATA,True
2020-04-08,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,9.64,4800,DEMO_DATA,True
2020-04-09,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,9.71,4800,DEMO_DATA,True
2020-04-10,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.93,4800,DEMO_DATA,True
2020-04-11,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.85,4800,DEMO_DATA,True
2020-04-12,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.81,4800,DEMO_DATA,True
2020-04-13,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.82,4800,DEMO_DATA,True
2020-04-14,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.65,4800,DEMO_DATA,True
2020-04-15,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.53,4800,DEMO_DATA,True
2020-04-16,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.51,4800,DEMO_DATA,True
2020-04-17,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.2,4800,DEMO_DATA,True
2020-04-18,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.09,4800,DEMO_DATA,True
2020-04-19,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.34,4800,DEMO_DATA,True
2020-04-20,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.55,4800,DEMO_DATA,True
2020-04-21,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.6,4800,DEMO_DATA,True
2020-04-22,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.66,4800,DEMO_DATA,True
2020-04-23,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.59,4800,DEMO_DATA,True
2020-04-24,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.71,4800,DEMO_DATA,True
2020-04-25,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.78,4800,DEMO_DATA,True
2020-04-26,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.56,4800,DEMO_DATA,True
2020-04-27,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.61,4800,DEMO_DATA,True
2020-04-28,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.6,4800,DEMO_DATA,True
2020-04-29,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.52,4800,DEMO_DATA,True
2020-04-30,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.52,4800,DEMO_DATA,True
2020-05-01,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.48,4800,DEMO_DATA,True
2020-05-02,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.32,4800,DEMO_DATA,True
2020-05-03,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.44,4800,DEMO_DATA,True
2020-05-04,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.81,4800,DEMO_DATA,True
2020-05-05,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.86,4800,DEMO_DATA,True
2020-05-06,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.96,4800,DEMO_DATA,True
2020-05-07,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.94,4800,DEMO_DATA,True
2020-05-08,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.86,4800,DEMO_DATA,True
2020-05-09,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.79,4800,DEMO_DATA,True
2020-05-10,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.64,4800,DEMO_DATA,True
2020-05-11,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.84,4800,DEMO_DATA,True
2020-05-12,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.87,4800,DEMO_DATA,True
2020-05-13,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.91,4800,DEMO_DATA,True
2020-05-14,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.92,4800,DEMO_DATA,True
2020-05-15,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.81,4800,DEMO_DATA,True
2020-05-16,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.37,4800,DEMO_DATA,True
2020-05-17,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.3,4800,DEMO_DATA,True
2020-05-18,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.58,4800,DEMO_DATA,True
2020-05-19,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.49,4800,DEMO_DATA,True
2020-05-20,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.54,4800,DEMO_DATA,True
2020-05-21,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.63,4800,DEMO_DATA,True
2020-05-22,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.76,4800,DEMO_DATA,True
2020-05-23,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.5,4800,DEMO_DATA,True
2020-05-24,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.39,4800,DEMO_DATA,True
2020-05-25,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.78,4800,DEMO_DATA,True
2020-05-26,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.71,4800,DEMO_DATA,True
2020-05-27,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.55,4800,DEMO_DATA,True
2020-05-28,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,10.67,4800,DEMO_DATA,True
2020-05-29,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.77,4800,DEMO_DATA,True
2020-05-30,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.43,4800,DEMO_DATA,True
2020-05-31,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.44,4800,DEMO_DATA,True
2020-06-01,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.7,4800,DEMO_DATA,True
2020-06-02,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.76,4800,DEMO_DATA,True
2020-06-03,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.52,4800,DEMO_DATA,True
2020-06-04,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.41,4800,DEMO_DATA,True
2020-06-05,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.53,4800,DEMO_DATA,True
2020-06-06,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.42,4800,DEMO_DATA,True
2020-06-07,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.39,4800,DEMO_DATA,True
2020-06-08,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.77,4800,DEMO_DATA,True
2020-06-09,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.8,4800,DEMO_DATA,True
2020-06-10,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.95,4800,DEMO_DATA,True
2020-06-11,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.91,4800,DEMO_DATA,True
2020-06-12,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.82,4800,DEMO_DATA,True
2020-06-13,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.39,4800,DEMO_DATA,True
2020-06-14,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.33,4800,DEMO_DATA,True
2020-06-15,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.61,4800,DEMO_DATA,True
2020-06-16,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.53,4800,DEMO_DATA,True
2020-06-17,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.63,4800,DEMO_DATA,True
2020-06-18,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.68,4800,DEMO_DATA,True
2020-06-19,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.56,4800,DEMO_DATA,True
2020-06-20,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.18,4800,DEMO_DATA,True
2020-06-21,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.24,4800,DEMO_DATA,True
2020-06-22,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.46,4800,DEMO_DATA,True
2020-06-23,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.2,4800,DEMO_DATA,True
2020-06-24,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.22,4800,DEMO_DATA,True
2020-06-25,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.28,4800,DEMO_DATA,True
2020-06-26,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.28,4800,DEMO_DATA,True
2020-06-27,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.17,4800,DEMO_DATA,True
2020-06-28,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.04,4800,DEMO_DATA,True
2020-06-29,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.2,4800,DEMO_DATA,True
2020-06-30,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.32,4800,DEMO_DATA,True
2020-07-01,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.03,4800,DEMO_DATA,True
2020-07-02,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.03,4800,DEMO_DATA,True
2020-07-03,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.87,4800,DEMO_DATA,True
2020-07-04,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.69,4800,DEMO_DATA,True
2020-07-05,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.5,4800,DEMO_DATA,True
2020-07-06,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.76,4800,DEMO_DATA,True
2020-07-07,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.82,4800,DEMO_DATA,True
2020-07-08,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.8,4800,DEMO_DATA,True
2020-07-09,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.5,4800,DEMO_DATA,True
2020-07-10,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.52,4800,DEMO_DATA,True
2020-07-11,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.25,4800,DEMO_DATA,True
2020-07-12,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.1,4800,DEMO_DATA,True
2020-07-13,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.36,4800,DEMO_DATA,True
2020-07-14,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.07,4800,DEMO_DATA,True
2020-07-15,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.25,4800,DEMO_DATA,True
2020-07-16,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.15,4800,DEMO_DATA,True
2020-07-17,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.06,4800,DEMO_DATA,True
2020-07-18,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.68,4800,DEMO_DATA,True
2020-07-19,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.63,4800,DEMO_DATA,True
2020-07-20,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.97,4800,DEMO_DATA,True
2020-07-21,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.81,4800,DEMO_DATA,True
2020-07-22,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.09,4800,DEMO_DATA,True
2020-07-23,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.61,4800,DEMO_DATA,True
2020-07-24,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.37,4800,DEMO_DATA,True
2020-07-25,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.93,4800,DEMO_DATA,True
2020-07-26,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.85,4800,DEMO_DATA,True
2020-07-27,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.88,4800,DEMO_DATA,True
2020-07-28,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.81,4800,DEMO_DATA,True
2020-07-29,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.89,4800,DEMO_DATA,True
2020-07-30,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.85,4800,DEMO_DATA,True
2020-07-31,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.13,4800,DEMO_DATA,True
2020-08-01,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.59,4800,DEMO_DATA,True
2020-08-02,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.57,4800,DEMO_DATA,True
2020-08-03,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.7,4800,DEMO_DATA,True
2020-08-04,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.76,4800,DEMO_DATA,True
2020-08-05,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.55,4800,DEMO_DATA,True
2020-08-06,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.52,4800,DEMO_DATA,True
2020-08-07,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.39,4800,DEMO_DATA,True
2020-08-08,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.19,4800,DEMO_DATA,True
2020-08-09,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.11,4800,DEMO_DATA,True
2020-08-10,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.39,4800,DEMO_DATA,True
2020-08-11,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.1,4800,DEMO_DATA,True
2020-08-12,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.38,4800,DEMO_DATA,True
2020-08-13,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.56,4800,DEMO_DATA,True
2020-08-14,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.65,4800,DEMO_DATA,True
2020-08-15,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.31,4800,DEMO_DATA,True
2020-08-16,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.19,4800,DEMO_DATA,True
2020-08-17,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.32,4800,DEMO_DATA,True
2020-08-18,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.06,4800,DEMO_DATA,True
2020-08-19,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.24,4800,DEMO_DATA,True
2020-08-20,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.15,4800,DEMO_DATA,True
2020-08-21,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.11,4800,DEMO_DATA,True
2020-08-22,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.85,4800,DEMO_DATA,True
2020-08-23,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.65,4800,DEMO_DATA,True
2020-08-24,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.88,4800,DEMO_DATA,True
2020-08-25,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.82,4800,DEMO_DATA,True
2020-08-26,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.81,4800,DEMO_DATA,True
2020-08-27,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.82,4800,DEMO_DATA,True
2020-08-28,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.59,4800,DEMO_DATA,True
2020-08-29,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.17,4800,DEMO_DATA,True
2020-08-30,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.01,4800,DEMO_DATA,True
2020-08-31,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.29,4800,DEMO_DATA,True
2020-09-01,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.52,4800,DEMO_DATA,True
2020-09-02,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.52,4800,DEMO_DATA,True
2020-09-03,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.19,4800,DEMO_DATA,True
2020-09-04,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.2,4800,DEMO_DATA,True
2020-09-05,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.87,4800,DEMO_DATA,True
2020-09-06,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.85,4800,DEMO_DATA,True
2020-09-07,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.09,4800,DEMO_DATA,True
2020-09-08,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.77,4800,DEMO_DATA,True
2020-09-09,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.53,4800,DEMO_DATA,True
2020-09-10,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.41,4800,DEMO_DATA,True
2020-09-11,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.38,4800,DEMO_DATA,True
2020-09-12,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.12,4800,DEMO_DATA,True
2020-09-13,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.97,4800,DEMO_DATA,True
