date,port_id,avg_waiting_time_hrs,congestion_level,berths_occupied_pct,vessels_at_anchor,data_source,is_synthetic
2020-02-10,paradip,59.0,high,87.2,7,DEMO_DATA,True
2020-02-11,paradip,43.0,medium,74.4,5,DEMO_DATA,True
2020-02-12,paradip,47.1,medium,77.7,5,DEMO_DATA,True
2020-02-13,paradip,73.6,high,95.0,9,DEMO_DATA,True
2020-02-14,paradip,63.6,high,90.9,7,DEMO_DATA,True
2020-02-15,paradip,29.8,medium,63.8,3,DEMO_DATA,True
2020-02-16,paradip,23.4,low,58.7,2,DEMO_DATA,True
2020-02-17,paradip,22.0,low,57.6,2,DEMO_DATA,True
2020-02-18,paradip,23.1,low,58.5,2,DEMO_DATA,True
2020-02-19,paradip,24.6,medium,59.7,3,DEMO_DATA,True
2020-02-20,paradip,22.3,low,57.8,2,DEMO_DATA,True
2020-02-21,paradip,23.8,low,59.0,2,DEMO_DATA,True
2020-02-22,paradip,31.9,medium,65.5,3,DEMO_DATA,True
2020-02-23,paradip,35.6,medium,68.5,4,DEMO_DATA,True
2020-02-24,paradip,40.0,medium,72.0,4,DEMO_DATA,True
2020-02-25,paradip,38.8,medium,71.0,4,DEMO_DATA,True
2020-02-26,paradip,31.5,medium,65.2,3,DEMO_DATA,True
2020-02-27,paradip,34.6,medium,67.7,4,DEMO_DATA,True
2020-02-28,paradip,30.1,medium,64.1,3,DEMO_DATA,True
2020-02-29,paradip,30.7,medium,64.5,3,DEMO_DATA,True
2020-03-01,paradip,35.2,medium,68.1,4,DEMO_DATA,True
2020-03-02,paradip,44.8,medium,75.9,5,DEMO_DATA,True
2020-03-03,paradip,46.6,medium,77.3,5,DEMO_DATA,True
2020-03-04,paradip,36.3,medium,69.0,4,DEMO_DATA,True
2020-03-05,paradip,32.9,medium,66.3,4,DEMO_DATA,True
2020-03-06,paradip,44.5,medium,75.6,5,DEMO_DATA,True
2020-03-07,paradip,41.2,medium,72.9,5,DEMO_DATA,True
2020-03-08,paradip,39.4,medium,71.6,4,DEMO_DATA,True
2020-03-09,paradip,43.1,medium,74.5,5,DEMO_DATA,True
2020-03-10,paradip,43.6,medium,74.9,5,DEMO_DATA,True
2020-03-11,paradip,54.7,high,83.7,6,DEMO_DATA,True
2020-03-12,paradip,31.9,medium,65.5,3,DEMO_DATA,True
2020-03-13,paradip,48.6,high,78.9,6,DEMO_DATA,True
2020-03-14,paradip,16.0,low,52.8,2,DEMO_DATA,True
2020-03-15,paradip,13.5,low,50.8,1,DEMO_DATA,True
2020-03-16,paradip,10.9,low,48.7,1,DEMO_DATA,True
2020-03-17,paradip,12.8,low,50.2,1,DEMO_DATA,True
2020-03-18,paradip,16.4,low,53.1,2,DEMO_DATA,True
2020-03-19,paradip,13.1,low,50.4,1,DEMO_DATA,True
2020-03-20,paradip,10.8,low,48.6,1,DEMO_DATA,True
2020-03-21,paradip,10.8,low,48.6,1,DEMO_DATA,True
2020-03-22,paradip,15.5,low,52.4,1,DEMO_DATA,True
2020-03-23,paradip,16.0,low,52.8,1,DEMO_DATA,True
2020-03-24,paradip,12.9,low,50.3,1,DEMO_DATA,True
2020-03-25,paradip,14.5,low,51.6,1,DEMO_DATA,True
2020-03-26,paradip,14.5,low,51.6,1,DEMO_DATA,True
2020-03-27,paradip,22.8,low,58.2,2,DEMO_DATA,True
2020-03-28,paradip,23.8,low,59.0,2,DEMO_DATA,True
2020-03-29,paradip,27.0,medium,61.6,3,DEMO_DATA,True
2020-03-30,paradip,32.2,medium,65.7,4,DEMO_DATA,True
2020-03-31,paradip,31.4,medium,65.1,3,DEMO_DATA,True
2020-04-01,paradip,26.8,medium,61.4,3,DEMO_DATA,True
2020-04-02,paradip,27.8,medium,62.2,3,DEMO_DATA,True
2020-04-03,paradip,37.2,medium,69.7,4,DEMO_DATA,True
2020-04-04,paradip,35.6,medium,68.5,4,DEMO_DATA,True
2020-04-05,paradip,43.0,medium,74.4,5,DEMO_DATA,True
2020-04-06,paradip,46.5,medium,77.2,5,DEMO_DATA,True
2020-04-07,paradip,30.2,medium,64.1,3,DEMO_DATA,True
2020-04-08,paradip,38.4,medium,70.7,4,DEMO_DATA,True
2020-04-09,paradip,27.3,medium,61.8,3,DEMO_DATA,True
2020-04-10,paradip,28.6,medium,62.9,3,DEMO_DATA,True
2020-04-11,paradip,24.1,medium,59.3,3,DEMO_DATA,True
2020-04-12,paradip,24.3,medium,59.4,3,DEMO_DATA,True
2020-04-13,paradip,24.9,medium,59.9,3,DEMO_DATA,True
2020-04-14,paradip,20.8,low,56.6,2,DEMO_DATA,True
2020-04-15,paradip,20.9,low,56.7,2,DEMO_DATA,True
2020-04-16,paradip,28.7,medium,62.9,3,DEMO_DATA,True
2020-04-17,paradip,30.2,medium,64.2,3,DEMO_DATA,True
2020-04-18,paradip,22.0,low,57.6,2,DEMO_DATA,True
2020-04-19,paradip,15.0,low,52.0,1,DEMO_DATA,True
2020-04-20,paradip,21.4,low,57.1,2,DEMO_DATA,True
2020-04-21,paradip,16.6,low,53.3,2,DEMO_DATA,True
2020-04-22,paradip,18.2,low,54.6,2,DEMO_DATA,True
2020-04-23,paradip,15.8,low,52.6,1,DEMO_DATA,True
2020-04-24,paradip,15.2,low,52.1,1,DEMO_DATA,True
2020-04-25,paradip,17.7,low,54.2,2,DEMO_DATA,True
2020-04-26,paradip,21.8,low,57.4,2,DEMO_DATA,True
2020-04-27,paradip,18.4,low,54.8,2,DEMO_DATA,True
2020-04-28,paradip,15.5,low,52.4,1,DEMO_DATA,True
2020-04-29,paradip,22.6,low,58.1,2,DEMO_DATA,True
2020-04-30,paradip,26.0,medium,60.8,3,DEMO_DATA,True
2020-05-01,paradip,23.8,low,59.1,2,DEMO_DATA,True
2020-05-02,paradip,23.3,low,58.6,2,DEMO_DATA,True
2020-05-03,paradip,30.6,medium,64.5,3,DEMO_DATA,True
2020-05-04,paradip,30.1,medium,64.1,3,DEMO_DATA,True
2020-05-05,paradip,39.4,medium,71.5,4,DEMO_DATA,True
2020-05-06,paradip,26.6,medium,61.3,3,DEMO_DATA,True
2020-05-07,paradip,24.0,medium,59.2,3,DEMO_DATA,True
2020-05-08,paradip,19.8,low,55.8,2,DEMO_DATA,True
2020-05-09,paradip,14.2,low,51.3,1,DEMO_DATA,True
2020-05-10,paradip,16.9,low,53.5,2,DEMO_DATA,True
2020-05-11,paradip,16.8,low,53.4,2,DEMO_DATA,True
2020-05-12,paradip,15.1,low,52.1,1,DEMO_DATA,True
2020-05-13,paradip,20.4,low,56.3,2,DEMO_DATA,True
2020-05-14,paradip,11.6,low,49.3,1,DEMO_DATA,True
2020-05-15,paradip,12.0,low,49.6,1,DEMO_DATA,True
2020-05-16,paradip,14.0,low,51.2,1,DEMO_DATA,True
2020-05-17,paradip,18.1,low,54.5,2,DEMO_DATA,True
2020-05-18,paradip,14.1,low,51.3,1,DEMO_DATA,True
2020-05-19,paradip,17.5,low,54.0,2,DEMO_DATA,True
2020-05-20,paradip,18.9,low,55.1,2,DEMO_DATA,True
2020-05-21,paradip,26.8,medium,61.5,3,DEMO_DATA,True
2020-05-22,paradip,26.9,medium,61.6,3,DEMO_DATA,True
2020-05-23,paradip,28.5,medium,62.8,3,DEMO_DATA,True
2020-05-24,paradip,30.7,medium,64.6,3,DEMO_DATA,True
2020-05-25,paradip,30.5,medium,64.4,3,DEMO_DATA,True
2020-05-26,paradip,27.5,medium,62.0,3,DEMO_DATA,True
2020-05-27,paradip,29.8,medium,63.9,3,DEMO_DATA,True
2020-05-28,paradip,33.2,medium,66.5,4,DEMO_DATA,True
2020-05-29,paradip,41.1,medium,72.9,5,DEMO_DATA,True
2020-05-30,paradip,33.2,medium,66.6,4,DEMO_DATA,True
2020-05-31,paradip,34.8,medium,67.9,4,DEMO_DATA,True
2020-06-01,paradip,35.4,medium,68.3,4,DEMO_DATA,True
2020-06-02,paradip,44.3,medium,75.4,5,DEMO_DATA,True
2020-06-03,paradip,52.6,high,82.1,6,DEMO_DATA,True
2020-06-04,paradip,49.1,high,79.3,6,DEMO_DATA,True
2020-06-05,paradip,35.8,medium,68.6,4,DEMO_DATA,True
2020-06-06,paradip,36.8,medium,69.4,4,DEMO_DATA,True
2020-06-07,paradip,43.0,medium,74.4,5,DEMO_DATA,True
2020-06-08,paradip,48.9,high,79.1,6,DEMO_DATA,True
2020-06-09,paradip,55.8,high,84.6,6,DEMO_DATA,True
2020-06-10,paradip,46.0,medium,76.8,5,DEMO_DATA,True
2020-06-11,paradip,66.9,high,93.5,8,DEMO_DATA,True
2020-06-12,paradip,62.9,high,90.3,7,DEMO_DATA,True
2020-06-13,paradip,58.7,high,86.9,7,DEMO_DATA,True
2020-06-14,paradip,50.4,high,80.3,6,DEMO_DATA,True
2020-06-15,paradip,58.0,high,86.4,7,DEMO_DATA,True
2020-06-16,paradip,60.9,high,88.7,7,DEMO_DATA,True
2020-06-17,paradip,64.3,high,91.5,8,DEMO_DATA,True
2020-06-18,paradip,52.9,high,82.3,6,DEMO_DATA,True
2020-06-19,paradip,44.5,medium,75.6,5,DEMO_DATA,True
2020-06-20,paradip,43.1,medium,74.5,5,DEMO_DATA,True
2020-06-21,paradip,44.8,medium,75.9,5,DEMO_DATA,True
2020-06-22,paradip,40.9,medium,72.7,5,DEMO_DATA,True
2020-06-23,paradip,45.6,medium,76.5,5,DEMO_DATA,True
2020-06-24,paradip,28.2,medium,62.6,3,DEMO_DATA,True
2020-06-25,paradip,35.3,medium,68.2,4,DEMO_DATA,True
2020-06-26,paradip,28.3,medium,62.7,3,DEMO_DATA,True
2020-06-27,paradip,25.8,medium,60.7,3,DEMO_DATA,True
2020-06-28,paradip,15.6,low,52.4,1,DEMO_DATA,True
2020-06-29,paradip,22.7,low,58.1,2,DEMO_DATA,True
2020-06-30,paradip,24.8,medium,59.8,3,DEMO_DATA,True
2020-07-01,paradip,30.2,medium,64.2,3,DEMO_DATA,True
2020-07-02,paradip,40.4,medium,72.3,5,DEMO_DATA,True
2020-07-03,paradip,29.5,medium,63.6,3,DEMO_DATA,True
2020-07-04,paradip,33.9,medium,67.1,4,DEMO_DATA,True
2020-07-05,paradip,30.1,medium,64.1,3,DEMO_DATA,True
2020-07-06,paradip,33.8,medium,67.0,4,DEMO_DATA,True
2020-07-07,paradip,27.2,medium,61.8,3,DEMO_DATA,True
2020-07-08,paradip,23.4,low,58.7,2,DEMO_DATA,True
2020-07-09,paradip,28.5,medium,62.8,3,DEMO_DATA,True
2020-07-10,paradip,19.4,low,55.5,2,DEMO_DATA,True
2020-07-11,paradip,17.5,low,54.0,2,DEMO_DATA,True
2020-07-12,paradip,22.9,low,58.3,2,DEMO_DATA,True
2020-07-13,paradip,25.8,medium,60.6,3,DEMO_DATA,True
2020-07-14,paradip,22.3,low,57.8,2,DEMO_DATA,True
2020-07-15,paradip,28.0,medium,62.4,3,DEMO_DATA,True
2020-07-16,paradip,32.4,medium,65.9,4,DEMO_DATA,True
2020-07-17,paradip,35.9,medium,68.7,4,DEMO_DATA,True
2020-07-18,paradip,37.9,medium,70.3,4,DEMO_DATA,True
2020-07-19,paradip,33.6,medium,66.9,4,DEMO_DATA,True
2020-07-20,paradip,23.8,low,59.0,2,DEMO_DATA,True
2020-07-21,paradip,19.2,low,55.4,2,DEMO_DATA,True
2020-07-22,paradip,19.2,low,55.3,2,DEMO_DATA,True
2020-07-23,paradip,26.5,medium,61.2,3,DEMO_DATA,True
2020-07-24,paradip,21.8,low,57.5,2,DEMO_DATA,True
2020-07-25,paradip,22.7,low,58.1,2,DEMO_DATA,True
2020-07-26,paradip,30.3,medium,64.3,3,DEMO_DATA,True
2020-07-27,paradip,27.4,medium,61.9,3,DEMO_DATA,True
2020-07-28,paradip,46.2,medium,77.0,5,DEMO_DATA,True
2020-07-29,paradip,42.5,medium,74.0,5,DEMO_DATA,True
2020-07-30,paradip,53.0,high,82.4,6,DEMO_DATA,True
2020-07-31,paradip,48.4,high,78.7,6,DEMO_DATA,True
2020-08-01,paradip,48.3,high,78.6,6,DEMO_DATA,True
2020-08-02,paradip,56.6,high,85.3,7,DEMO_DATA,True
2020-08-03,paradip,67.8,high,94.2,8,DEMO_DATA,True
2020-08-04,paradip,55.5,high,84.4,6,DEMO_DATA,True
2020-08-05,paradip,63.2,high,90.6,7,DEMO_DATA,True
2020-08-06,paradip,68.1,high,94.4,8,DEMO_DATA,True
2020-08-07,paradip,69.8,high,95.0,8,DEMO_DATA,True
2020-08-08,paradip,58.0,high,86.4,7,DEMO_DATA,True
2020-08-09,paradip,59.6,high,87.7,7,DEMO_DATA,True
2020-08-10,paradip,60.7,high,88.5,7,DEMO_DATA,True
2020-08-11,paradip,83.6,high,95.0,10,DEMO_DATA,True
2020-08-12,paradip,53.0,high,82.4,6,DEMO_DATA,True
2020-08-13,paradip,67.5,high,94.0,8,DEMO_DATA,True
2020-08-14,paradip,54.9,high,83.9,6,DEMO_DATA,True
2020-08-15,paradip,71.6,high,95.0,8,DEMO_DATA,True
2020-08-16,paradip,59.4,high,87.5,7,DEMO_DATA,True
2020-08-17,paradip,48.5,high,78.8,6,DEMO_DATA,True
2020-08-18,paradip,39.1,medium,71.3,4,DEMO_DATA,True
2020-08-19,paradip,47.5,medium,78.0,5,DEMO_DATA,True
2020-08-20,paradip,55.6,high,84.5,6,DEMO_DATA,True
2020-08-21,paradip,57.6,high,86.1,7,DEMO_DATA,True
2020-08-22,paradip,77.3,high,95.0,9,DEMO_DATA,True
2020-08-23,paradip,91.3,high,95.0,11,DEMO_DATA,True
2020-08-24,paradip,46.2,medium,76.9,5,DEMO_DATA,True
2020-08-25,paradip,34.4,medium,67.5,4,DEMO_DATA,True
2020-08-26,paradip,27.5,medium,62.0,3,DEMO_DATA,True
2020-08-27,paradip,37.2,medium,69.8,4,DEMO_DATA,True
2020-08-28,paradip,27.6,medium,62.1,3,DEMO_DATA,True
2020-08-29,paradip,31.8,medium,65.5,3,DEMO_DATA,True
2020-08-30,paradip,37.1,medium,69.7,4,DEMO_DATA,True
2020-08-31,paradip,31.3,medium,65.0,3,DEMO_DATA,True
2020-09-01,paradip,38.5,medium,70.8,4,DEMO_DATA,True
2020-09-02,paradip,37.3,medium,69.9,4,DEMO_DATA,True
2020-09-03,paradip,49.9,high,79.9,6,DEMO_DATA,True
2020-09-04,paradip,47.6,medium,78.1,5,DEMO_DATA,True
2020-09-05,paradip,45.7,medium,76.6,5,DEMO_DATA,True
2020-09-06,paradip,48.6,high,78.9,6,DEMO_DATA,True
2020-09-07,paradip,31.0,medium,64.8,3,DEMO_DATA,True
2020-09-08,paradip,47.2,medium,77.8,5,DEMO_DATA,True
2020-09-09,paradip,46.7,medium,77.4,5,DEMO_DATA,True
2020-09-10,paradip,43.1,medium,74.5,5,DEMO_DATA,True
2020-09-11,paradip,30.7,medium,64.5,3,DEMO_DATA,True
2020-09-12,paradip,43.2,medium,74.6,5,DEMO_DATA,True
2020-09-13,paradip,30.7,medium,64.5,3,DEMO_DATA,True
2020-09-14,paradip,33.1,medium,66.5,4,DEMO_DATA,True
2020-09-15,paradip,41.8,medium,73.4,5,DEMO_DATA,True
2020-09-16,paradip,37.9,medium,70.3,4,DEMO_DATA,True
2020-09-17,paradip,53.5,high,82.8,6,DEMO_DATA,True
2020-09-18,paradip,60.6,high,88.5,7,DEMO_DATA,True
2020-09-19,paradip,63.9,high,91.1,7,DEMO_DATA,True
2020-09-20,paradip,39.9,medium,71.9,4,DEMO_DATA,True
2020-09-21,paradip,51.2,high,81.0,6,DEMO_DATA,True
2020-09-22,paradip,44.1,medium,75.3,5,DEMO_DATA,True
2020-09-23,paradip,48.0,high,78.4,6,DEMO_DATA,True
2020-09-24,paradip,36.8,medium,69.4,4,DEMO_DATA,True
2020-09-25,paradip,54.6,high,83.7,6,DEMO_DATA,True
2020-09-26,paradip,45.5,medium,76.4,5,DEMO_DATA,True
2020-09-27,paradip,35.5,medium,68.4,4,DEMO_DATA,True
2020-09-28,paradip,24.9,medium,59.9,3,DEMO_DATA,True
2020-09-29,paradip,22.7,low,58.1,2,DEMO_DATA,True
2020-09-30,paradip,20.7,low,56.5,2,DEMO_DATA,True
2020-10-01,paradip,20.1,low,56.1,2,DEMO_DATA,True
2020-10-02,paradip,18.3,low,54.6,2,DEMO_DATA,True
2020-10-03,paradip,26.1,medium,60.9,3,DEMO_DATA,True
2020-10-04,paradip,33.7,medium,66.9,4,DEMO_DATA,True
2020-10-05,paradip,34.2,medium,67.3,4,DEMO_DATA,True
2020-10-06,paradip,38.6,medium,70.9,4,DEMO_DATA,True
2020-10-07,paradip,35.1,medium,68.1,4,DEMO_DATA,True
2020-10-08,paradip,28.2,medium,62.6,3,DEMO_DATA,True
2020-10-09,paradip,33.3,medium,66.7,4,DEMO_DATA,True
2020-10-10,paradip,35.3,medium,68.2,4,DEMO_DATA,True
2020-10-11,paradip,41.5,medium,73.2,5,DEMO_DATA,True
2020-10-12,paradip,43.7,medium,75.0,5,DEMO_DATA,True
2020-10-13,paradip,36.3,medium,69.0,4,DEMO_DATA,True
2020-10-14,paradip,43.1,medium,74.5,5,DEMO_DATA,True
2020-10-15,paradip,48.9,high,79.1,6,DEMO_DATA,True
2020-10-16,paradip,48.7,high,79.0,6,DEMO_DATA,True
2020-10-17,paradip,56.4,high,85.1,7,DEMO_DATA,True
2020-10-18,paradip,53.5,high,82.8,6,DEMO_DATA,True
2020-10-19,paradip,55.7,high,84.5,6,DEMO_DATA,True
2020-10-20,paradip,51.6,high,81.2,6,DEMO_DATA,True
2020-10-21,paradip,38.4,medium,70.7,4,DEMO_DATA,True
2020-10-22,paradip,33.5,medium,66.8,4,DEMO_DATA,True
2020-10-23,paradip,34.0,medium,67.2,4,DEMO_DATA,True
2020-10-24,paradip,47.2,medium,77.8,5,DEMO_DATA,True
2020-10-25,paradip,46.8,medium,77.4,5,DEMO_DATA,True
2020-10-26,paradip,42.6,medium,74.1,5,DEMO_DATA,True
2020-10-27,paradip,47.8,medium,78.2,5,DEMO_DATA,True
2020-10-28,paradip,48.5,high,78.8,6,DEMO_DATA,True
2020-10-29,paradip,44.4,medium,75.5,5,DEMO_DATA,True
2020-10-30,paradip,30.5,medium,64.4,3,DEMO_DATA,True
2020-10-31,paradip,35.9,medium,68.7,4,DEMO_DATA,True
2020-11-01,paradip,34.5,medium,67.6,4,DEMO_DATA,True
2020-11-02,paradip,40.9,medium,72.8,5,DEMO_DATA,True
2020-11-03,paradip,59.4,high,87.6,7,DEMO_DATA,True
2020-11-04,paradip,63.8,high,91.1,7,DEMO_DATA,True
2020-11-05,paradip,48.1,high,78.5,6,DEMO_DATA,True
2020-11-06,paradip,60.5,high,88.4,7,DEMO_DATA,True
2020-11-07,paradip,53.1,high,82.5,6,DEMO_DATA,True
2020-11-08,paradip,55.5,high,84.4,6,DEMO_DATA,True
2020-11-09,paradip,54.0,high,83.2,6,DEMO_DATA,True
2020-11-10,paradip,51.8,high,81.4,6,DEMO_DATA,True
2020-11-11,paradip,45.2,medium,76.2,5,DEMO_DATA,True
2020-11-12,paradip,36.7,medium,69.3,4,DEMO_DATA,True
2020-11-13,paradip,24.3,medium,59.4,3,DEMO_DATA,True
2020-11-14,paradip,22.8,low,58.3,2,DEMO_DATA,True
2020-11-15,paradip,19.9,low,55.9,2,DEMO_DATA,True
2020-11-16,paradip,15.8,low,52.7,1,DEMO_DATA,True
2020-11-17,paradip,19.3,low,55.4,2,DEMO_DATA,True
2020-11-18,paradip,17.1,low,53.7,2,DEMO_DATA,True
2020-11-19,paradip,15.1,low,52.1,1,DEMO_DATA,True
2020-11-20,paradip,15.5,low,52.4,1,DEMO_DATA,True
2020-11-21,paradip,22.1,low,57.7,2,DEMO_DATA,True
2020-11-22,paradip,26.0,medium,60.8,3,DEMO_DATA,True
2020-11-23,paradip,25.1,medium,60.1,3,DEMO_DATA,True
2020-11-24,paradip,30.1,medium,64.1,3,DEMO_DATA,True
2020-11-25,paradip,24.3,medium,59.4,3,DEMO_DATA,True
2020-11-26,paradip,25.0,medium,60.0,3,DEMO_DATA,True
2020-11-27,paradip,30.3,medium,64.3,3,DEMO_DATA,True
2020-11-28,paradip,26.5,medium,61.2,3,DEMO_DATA,True
2020-11-29,paradip,23.4,low,58.7,2,DEMO_DATA,True
2020-11-30,paradip,20.0,low,56.0,2,DEMO_DATA,True
2020-12-01,paradip,10.8,low,48.6,1,DEMO_DATA,True
2020-12-02,paradip,10.8,low,48.6,1,DEMO_DATA,True
2020-12-03,paradip,16.7,low,53.4,2,DEMO_DATA,True
2020-12-04,paradip,17.1,low,53.7,2,DEMO_DATA,True
2020-12-05,paradip,14.7,low,51.8,1,DEMO_DATA,True
2020-12-06,paradip,20.1,low,56.0,2,DEMO_DATA,True
2020-12-07,paradip,23.8,low,59.0,2,DEMO_DATA,True
2020-12-08,paradip,29.9,medium,63.9,3,DEMO_DATA,True
2020-12-09,paradip,37.6,medium,70.1,4,DEMO_DATA,True
2020-12-10,paradip,32.1,medium,65.7,4,DEMO_DATA,True
2020-12-11,paradip,49.5,high,79.6,6,DEMO_DATA,True
2020-12-12,paradip,44.0,medium,75.2,5,DEMO_DATA,True
2020-12-13,paradip,43.9,medium,75.1,5,DEMO_DATA,True
2020-12-14,paradip,44.1,medium,75.3,5,DEMO_DATA,True
2020-12-15,paradip,49.9,high,79.9,6,DEMO_DATA,True
2020-12-16,paradip,50.1,high,80.1,6,DEMO_DATA,True
2020-12-17,paradip,44.2,medium,75.3,5,DEMO_DATA,True
2020-12-18,paradip,58.0,high,86.4,7,DEMO_DATA,True
2020-12-19,paradip,57.5,high,86.0,7,DEMO_DATA,True
2020-12-20,paradip,52.3,high,81.9,6,DEMO_DATA,True
2020-12-21,paradip,48.5,high,78.8,6,DEMO_DATA,True
2020-12-22,paradip,40.1,medium,72.1,5,DEMO_DATA,True
2020-12-23,paradip,37.3,medium,69.9,4,DEMO_DATA,True
2020-12-24,paradip,26.3,medium,61.0,3,DEMO_DATA,True
2020-12-25,paradip,31.9,medium,65.5,3,DEMO_DATA,True
2020-12-26,paradip,44.3,medium,75.5,5,DEMO_DATA,True
2020-12-27,paradip,53.9,high,83.1,6,DEMO_DATA,True
2020-12-28,paradip,47.0,medium,77.6,5,DEMO_DATA,True
2020-12-29,paradip,48.6,high,78.9,6,DEMO_DATA,True
2020-12-30,paradip,54.2,high,83.4,6,DEMO_DATA,True
2020-12-31,paradip,76.6,high,95.0,9,DEMO_DATA,True
2021-01-01,paradip,69.1,high,95.0,8,DEMO_DATA,True
2021-01-02,paradip,93.7,high,95.0,11,DEMO_DATA,True
2021-01-03,paradip,43.5,medium,74.8,5,DEMO_DATA,True
2021-01-04,paradip,38.8,medium,71.0,4,DEMO_DATA,True
2021-01-05,paradip,29.5,medium,63.6,3,DEMO_DATA,True
2021-01-06,paradip,28.2,medium,62.5,3,DEMO_DATA,True
2021-01-07,paradip,33.9,medium,67.1,4,DEMO_DATA,True
2021-01-08,paradip,39.5,medium,71.6,4,DEMO_DATA,True
2021-01-09,paradip,30.8,medium,64.6,3,DEMO_DATA,True
2021-01-10,paradip,25.1,medium,60.1,3,DEMO_DATA,True
2021-01-11,paradip,27.4,medium,61.9,3,DEMO_DATA,True
2021-01-12,paradip,27.7,medium,62.2,3,DEMO_DATA,True
2021-01-13,paradip,23.5,low,58.8,2,DEMO_DATA,True
2021-01-14,paradip,22.9,low,58.3,2,DEMO_DATA,True
2021-01-15,paradip,20.2,low,56.1,2,DEMO_DATA,True
2021-01-16,paradip,14.1,low,51.3,1,DEMO_DATA,True
2021-01-17,paradip,13.7,low,50.9,1,DEMO_DATA,True
2021-01-18,paradip,13.8,low,51.1,1,DEMO_DATA,True
2021-01-19,paradip,17.4,low,54.0,2,DEMO_DATA,True
2021-01-20,paradip,16.7,low,53.4,2,DEMO_DATA,True
2021-01-21,paradip,17.6,low,54.1,2,DEMO_DATA,True
2021-01-22,paradip,19.9,low,55.9,2,DEMO_DATA,True
2021-01-23,paradip,26.6,medium,61.3,3,DEMO_DATA,True
2021-01-24,paradip,17.4,low,53.9,2,DEMO_DATA,True
2021-01-25,paradip,10.8,low,48.6,1,DEMO_DATA,True
2021-01-26,paradip,11.1,low,48.9,1,DEMO_DATA,True
2021-01-27,paradip,11.8,low,49.4,1,DEMO_DATA,True
2021-01-28,paradip,12.1,low,49.7,1,DEMO_DATA,True
2021-01-29,paradip,12.8,low,50.3,1,DEMO_DATA,True
2021-01-30,paradip,14.5,low,51.6,1,DEMO_DATA,True
2021-01-31,paradip,15.9,low,52.8,1,DEMO_DATA,True
2021-02-01,paradip,18.1,low,54.5,2,DEMO_DATA,True
2021-02-02,paradip,19.5,low,55.6,2,DEMO_DATA,True
2021-02-03,paradip,16.0,low,52.8,2,DEMO_DATA,True
2021-02-04,paradip,22.6,low,58.0,2,DEMO_DATA,True
2021-02-05,paradip,24.0,low,59.2,2,DEMO_DATA,True
